Branch,Process,Unit,Equipment Model,Equipment,Operator,Engine On (h),Average RPM,Effective Average Speed (km/h),Average Consumption (l/h),Average Consumption (l/ha)
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62514 - COLHEDORA JOHN DEERE CH570,359784 - DENILSON SILVA MOTA,322.1,1866.4,4.6,35.43,71.55
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,81 - Frente 1,COLHEDORA JOHN DEERE CH570,62504 - COLHEDORA JOHN DEERE CH570,600154 - FABIO MARTINS,318.1,1907.3,4.1,37.29,82.02
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,341 - FRENTE 5,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,315.9,1899.2,4.8,30.69,90.97
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62516 - COLHEDORA JOHN DEERE CH570,600610 - JEFERSON PEREIRA DOS SANTOS,315.8,1853.4,4.4,32.12,67.61
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62219 - TRATOR JOHN DEERE 7230J,602020 - LUIZ CARLOS DOS SANTOS OLIVEIRA,315.5,1591.8,4.2,10.75,
CAPINÓPOLIS - MG,VINHACA ENRIQ- 1 APLICACAO,84 - FRENTE TRATOS,TRATOR JOHN DEERE 7230J,62240 - TRATOR JOHN DEERE 7230J,600765 - RODRIGO GOMES VILARINHO,312.8,,,12.89,
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,83 - Frente 3,COLHEDORA JOHN DEERE CH570,62518 - COLHEDORA JOHN DEERE CH570,'-1 - * não definido *,311.4,1874.8,4.8,34.18,66.47
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,201 - FRENTE 4,COLHEDORA JOHN DEERE CH570,62519 - COLHEDORA JOHN DEERE CH570,601004 - ROBERVAL ROSENDO DA COSTA,310.1,1904.8,4.8,32.47,60.62
CAPINÓPOLIS - MG,COLHEITA MEC CANA PICADA - MOAGEM,82 - Frente 2,COLHEDORA JOHN DEERE CH570,62510 - COLHEDORA JOHN DEERE CH570,600991 - HOBBER DENILLO NOGUEIRA DA SILVA,305.3,1770.8,4.3,27.26,63.56
CAPINÓPOLIS - MG,VINHACA - 1 APLICACAO,361 - LOCALIZADA,TRATOR JOHN DEERE 7230J,62218 - TRATOR JOHN DEERE 7230J,601662 - PATRICIA GISLAINE SILVESTRE DE SOUZA,302.2,1580.7,4.0,10.05,
